166,MAILLEZAIS,85
167,MALLIÈVRE,85
168,MAREUIL SUR LAY (DISSAIS),85
169,MARILLET,85
170,MARSAIS (SAINTE RADÉGONDE),85
171,MAULÉON (= CHÂTILLON SUR SÈVRE),79
172,MAZIÈRES EN MAUGES,49
173,MEILLERAIE (TILLAY) (LA),85
174,MENOMBLET,85
175,MERLATIÈRE (LA),85
176,MERVENT,85
177,MESNARD LA BAROTIÈRE,85
178,MONCOUTANT,79
179,MONTAIGU - SAINT JACQUES,85
180,MONTAIGU (- SAINT JEAN BAPTISTE),85
181,MONTIGNY,79
182,MONTOURNAIS,85
183,MONTRAVERS,79
184,MONTREUIL,85
185,MORMAISON,85
186,MORTAGNE SUR SÈVRE,85
187,MOTHE ACHARD (LA),85
188,MOUCHAMPS,85
189,MOUILLERON EN PAREDS,85
190,MOUILLERON LE CAPTIF,85
191,MOULINS,79
192,MOUTIERS LES MAUXFAITS,85
193,MOUTIERS SUR LE LAY,85
194,MOUZEUIL (SAINT MARTIN),85
195,NALLIERS,85
196,NESMY,85
197,NIEUL LE DOLENT,85
198,NIEUL SUR L'AUTISE,85
199,NOIRLIEU,79
200,NOIRMOUTIER (EN L'ÎLE),85
201,NOIRTERRE,79
202,NOTRE DAME DE MONTS,85
203,NUEIL SUR ARGENT (= NUEIL LES AUBIERS),79
204,OIE (L'),85
205,OLONNE SUR MER,85
206,ORBRIE (L'),85
207,OULMES,85
208,PALLUAU,85
209,PAULX,44
210,PAYRÉ SUR VENDÉE,85
211,PÉAULT,85
212,PETIT BOURG DES HERBIERS (LE),85
213,PETOSSE,85
214,PINEAUX (SAINT OUEN) (LES),85
215,PIN (LE) (79),79
216,PISSOTTE,85
217,POIRE SUR VELLUIRE (LE),85
218,POIRÉ SUR VELLUIRE (LE),85
219,POIRÉ SUR VIE (LE),85
220,POIROUX,85
221,POMMERAIE SUR SÈVRE (LA),85
222,POMPAIRE,79
223,POUILLÉ,85
224,POUZAUGES,85
225,PUYBELLIARD,85
226,PUY DE SERRE,85
227,PUYRAVAULT,85
228,PUY SAINT BONNET (LE),49
229,RABATELIÈRE (LA),85
230,RÉAUMUR,85
231,REDOUX (LES),85
232,RÉORTHE (LA),85
233,ROCHESERVIÈRE (- NOTRE DAME),85
234,ROCHE SUR YON (LA),85
235,RONDE (LA) (79),79
236,RORTHAIS,79
237,ROSNAY,85
238,SABLES D'OLONNE (LES),85
239,SAINT AMAND SUR SÈVRE,79
240,SAINT ANDRÉ D'ORNAY,85
241,SAINT ANDRÉ GOULE D'OIE,85
242,SAINT ANDRÉ SUR MAREUIL,85
243,SAINT ANDRÉ SUR SÈVRE,79
244,SAINT ANDRÉ TREIZE VOIES,85
245,SAINT AUBIN DE BAUBIGNÉ,79
246,SAINT AUBIN DES ORMEAUX,85
247,SAINT AUBIN LA PLAINE,85
248,SAINT AVAUGOURD DES LANDES,85
